question_id,category,language,language_name,question,answer_length_chars,answer_length_words,num_disclaimers,num_assertive_markers,confidence_score,has_error,latency_seconds,model,model_name
1,factual,en,English,What is the capital of Kazakhstan?,245,38,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
2,factual,en,English,Who invented the telephone?,293,41,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
3,factual,en,English,What is the largest country in the world by area?,248,40,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
4,factual,en,English,When did World War II end?,229,37,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
5,factual,en,English,What is the boiling point of water at sea level?,252,43,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
6,factual,en,English,Who wrote 'War and Peace'?,254,41,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
7,factual,en,English,What is the chemical formula for water?,241,42,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
8,factual,en,English,How many continents are there?,231,34,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
9,factual,en,English,What is the speed of light?,278,44,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
10,factual,en,English,Who was the first person to walk on the Moon?,231,41,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
11,factual,en,English,What is the tallest mountain in the world?,218,38,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
12,factual,en,English,What programming language was created by Guido van Rossum?,231,35,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
13,factual,en,English,What is the currency of Japan?,212,41,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
14,factual,en,English,Who discovered penicillin?,250,36,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
15,factual,en,English,What year was the United Nations founded?,279,44,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
16,opinion,en,English,Is social media good or bad for teenagers?,347,49,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
17,opinion,en,English,Should artificial intelligence replace human workers?,373,48,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
18,opinion,en,English,Is democracy the best form of government?,352,48,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
19,opinion,en,English,Is it better to live in a big city or a small town?,397,60,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
20,opinion,en,English,Should university education be free?,382,47,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
21,opinion,en,English,Is it ethical to eat meat?,320,48,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
22,opinion,en,English,Should countries spend more money on space exploration or solving poverty?,394,55,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
23,opinion,en,English,Is homework beneficial for students?,355,50,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
24,opinion,en,English,Should there be stricter gun control laws?,352,54,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
25,opinion,en,English,Is climate change the most important issue facing humanity?,394,54,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
26,opinion,en,English,Should parents monitor their children's internet usage?,352,46,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
27,opinion,en,English,Is it more important to be rich or to be happy?,357,55,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
28,opinion,en,English,Should traditional medicine be valued as much as modern medicine?,372,45,0,0,0.5,False,0.0,jais-30b,Jais 30B (MBZUAI)
