model,question_id,category,lang_pair,lang_a,lang_b,similarity
jais-30b,1,factual,en-ru,en,ru,0.8254
jais-30b,1,factual,en-zh,en,zh,0.7603
jais-30b,1,factual,en-kz,en,kz,0.4055
jais-30b,1,factual,ru-zh,ru,zh,0.7072
jais-30b,1,factual,ru-kz,ru,kz,0.375
jais-30b,1,factual,zh-kz,zh,kz,0.3952
jais-30b,2,factual,en-ru,en,ru,0.7993
jais-30b,2,factual,en-zh,en,zh,0.8889
jais-30b,2,factual,en-kz,en,kz,0.3142
jais-30b,2,factual,ru-zh,ru,zh,0.8212
jais-30b,2,factual,ru-kz,ru,kz,0.3386
jais-30b,2,factual,zh-kz,zh,kz,0.292
jais-30b,3,factual,en-ru,en,ru,0.9093
jais-30b,3,factual,en-zh,en,zh,0.9384
jais-30b,3,factual,en-kz,en,kz,0.3316
jais-30b,3,factual,ru-zh,ru,zh,0.9076
jais-30b,3,factual,ru-kz,ru,kz,0.3121
jais-30b,3,factual,zh-kz,zh,kz,0.3368
jais-30b,4,factual,en-ru,en,ru,0.8685
jais-30b,4,factual,en-zh,en,zh,0.7915
jais-30b,4,factual,en-kz,en,kz,0.3083
jais-30b,4,factual,ru-zh,ru,zh,0.7826
jais-30b,4,factual,ru-kz,ru,kz,0.3188
jais-30b,4,factual,zh-kz,zh,kz,0.2186
jais-30b,5,factual,en-ru,en,ru,0.8127
jais-30b,5,factual,en-zh,en,zh,0.8993
jais-30b,5,factual,en-kz,en,kz,0.6124
jais-30b,5,factual,ru-zh,ru,zh,0.8906
jais-30b,5,factual,ru-kz,ru,kz,0.7533
jais-30b,5,factual,zh-kz,zh,kz,0.7383
jais-30b,6,factual,en-ru,en,ru,0.8905
jais-30b,6,factual,en-zh,en,zh,0.8302
jais-30b,6,factual,en-kz,en,kz,0.4788
jais-30b,6,factual,ru-zh,ru,zh,0.7612
jais-30b,6,factual,ru-kz,ru,kz,0.5193
jais-30b,6,factual,zh-kz,zh,kz,0.5368
jais-30b,7,factual,en-ru,en,ru,0.8826
jais-30b,7,factual,en-zh,en,zh,0.9097
jais-30b,7,factual,en-kz,en,kz,0.4515
jais-30b,7,factual,ru-zh,ru,zh,0.8568
jais-30b,7,factual,ru-kz,ru,kz,0.5131
jais-30b,7,factual,zh-kz,zh,kz,0.4781
jais-30b,8,factual,en-ru,en,ru,0.8268
jais-30b,8,factual,en-zh,en,zh,0.8738
jais-30b,8,factual,en-kz,en,kz,0.2494
jais-30b,8,factual,ru-zh,ru,zh,0.9034
jais-30b,8,factual,ru-kz,ru,kz,0.2351
jais-30b,8,factual,zh-kz,zh,kz,0.2393
jais-30b,9,factual,en-ru,en,ru,0.8992
jais-30b,9,factual,en-zh,en,zh,0.9157
jais-30b,9,factual,en-kz,en,kz,0.2383
jais-30b,9,factual,ru-zh,ru,zh,0.8823
jais-30b,9,factual,ru-kz,ru,kz,0.2311
jais-30b,9,factual,zh-kz,zh,kz,0.2276
jais-30b,10,factual,en-ru,en,ru,0.7514
jais-30b,10,factual,en-zh,en,zh,0.7516
jais-30b,10,factual,en-kz,en,kz,0.0487
jais-30b,10,factual,ru-zh,ru,zh,0.8501
jais-30b,10,factual,ru-kz,ru,kz,0.0632
jais-30b,10,factual,zh-kz,zh,kz,0.0412
jais-30b,11,factual,en-ru,en,ru,0.8031
jais-30b,11,factual,en-zh,en,zh,0.7818
jais-30b,11,factual,en-kz,en,kz,0.4027
jais-30b,11,factual,ru-zh,ru,zh,0.7435
jais-30b,11,factual,ru-kz,ru,kz,0.474
jais-30b,11,factual,zh-kz,zh,kz,0.4442
jais-30b,12,factual,en-ru,en,ru,0.5086
jais-30b,12,factual,en-zh,en,zh,0.7304
jais-30b,12,factual,en-kz,en,kz,0.2742
jais-30b,12,factual,ru-zh,ru,zh,0.6506
jais-30b,12,factual,ru-kz,ru,kz,0.5768
jais-30b,12,factual,zh-kz,zh,kz,0.4443
jais-30b,13,factual,en-ru,en,ru,0.8493
jais-30b,13,factual,en-zh,en,zh,0.9058
jais-30b,13,factual,en-kz,en,kz,0.7037
jais-30b,13,factual,ru-zh,ru,zh,0.8764
jais-30b,13,factual,ru-kz,ru,kz,0.7052
jais-30b,13,factual,zh-kz,zh,kz,0.689
jais-30b,14,factual,en-ru,en,ru,0.8576
jais-30b,14,factual,en-zh,en,zh,0.6646
jais-30b,14,factual,en-kz,en,kz,0.5426
jais-30b,14,factual,ru-zh,ru,zh,0.6737
jais-30b,14,factual,ru-kz,ru,kz,0.6551
jais-30b,14,factual,zh-kz,zh,kz,0.3402
jais-30b,15,factual,en-ru,en,ru,0.9074
jais-30b,15,factual,en-zh,en,zh,0.8705
jais-30b,15,factual,en-kz,en,kz,0.4577
jais-30b,15,factual,ru-zh,ru,zh,0.8491
jais-30b,15,factual,ru-kz,ru,kz,0.4927
jais-30b,15,factual,zh-kz,zh,kz,0.3704
jais-30b,16,opinion,en-ru,en,ru,0.8883
jais-30b,16,opinion,en-zh,en,zh,0.9243
jais-30b,16,opinion,en-kz,en,kz,0.3577
jais-30b,16,opinion,ru-zh,ru,zh,0.8694
jais-30b,16,opinion,ru-kz,ru,kz,0.4108
jais-30b,16,opinion,zh-kz,zh,kz,0.3336
jais-30b,17,opinion,en-ru,en,ru,0.9321
jais-30b,17,opinion,en-zh,en,zh,0.9338
jais-30b,17,opinion,en-kz,en,kz,0.3746
jais-30b,17,opinion,ru-zh,ru,zh,0.8977
jais-30b,17,opinion,ru-kz,ru,kz,0.4507
jais-30b,17,opinion,zh-kz,zh,kz,0.3902
jais-30b,18,opinion,en-ru,en,ru,0.884
jais-30b,18,opinion,en-zh,en,zh,0.8695
jais-30b,18,opinion,en-kz,en,kz,0.3799
jais-30b,18,opinion,ru-zh,ru,zh,0.8674
